WELL,DESCRIPTION,Date
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-22
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-23
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-24
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-26
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-02-28
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-01
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-02
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-03
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-04
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-05
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-06
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-09
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-10
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-11
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-12
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-13
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-14
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-15
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-16
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-17
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-18
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-19
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-20
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-22
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-23
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-24
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-25
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-26
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-27
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-28
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-01-29
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-03-01
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-03-02
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-03-03
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-03-04
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-03-06
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-03-07
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-03-08
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-03-09
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-03-10
W-C-07L,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],2019-03-11
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-12
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-13
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-14
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-15
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-16
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-17
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-20
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-21
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-22
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-23
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-24
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-26
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-27
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-28
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-29
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-30
W-C-07L,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-31
W-C-07L,Well quit,2019-06-01
W-C-07L,Well quit,2019-06-02
W-C-07L,Well Quit. Gas lift optimization,2019-08-20
W-C-07L,"DLC tripped due to short circuit at power supply unit (PSU) causing earth fault alarm in the UPS triggered and tripped, subsequently causing all UPS load to loss power.",2020-01-15
W-C-07L,"DLC tripped due to short circuit at power supply unit (PSU) causing earth fault alarm in the UPS triggered and tripped, subsequently causing all UPS load to loss power.",2020-01-19
W-C-07L,"DLC tripped due to short circuit at power supply unit (PSU) causing earth fault alarm in the UPS triggered and tripped, subsequently causing all UPS load to loss power.",2020-01-20
W-C-07L,"Dulang experienced PSD due to LSIH-5070 triggered. Upon investigation, found actual level at V507 was 36%. Set point for LSIH5070 is 44%. Switch faulty. New spare catalogued and MRF was placed.",2020-01-24
W-C-07L,DLB PSD due to PSH5050 and PSH5210 triggered due to PSL5780 leaked at transmitter body.,2020-03-08
W-C-07L,DLB PSD due to PSH5050 and PSH5210 triggered due to PSL5780 leaked at transmitter body.,2020-03-09
W-C-07L,Shut in well for ESD Test (prolong BOL due to process stabilization),2020-03-31
W-C-07L,Well Quit suspect SCSSV partial open.,2020-04-01
W-C-07L,Manually Shutdown GCM3 to rectify discharge line isolation valve nipple grease faulty,2020-04-13
W-C-07L,GCM3 tripped on LPC discharge pressure H-H during pig retrieval. Discharge pressure caused by high suction pressure. (cascading impact from PIG stuck),2020-04-21
W-C-07L,GCM3 tripped due to FG to GCM3 temperature low caused by HX6061 controller/PLC problem.,2020-04-30
W-C-07L,"Dulang experienced power failure due to TG630 and TG632 tripped on control system 24 VDC supply voltage low. Upon further investigation, found breaker malfunction. Breaker replaced and BOL platform.",2020-05-08
W-C-07L,Manually shutdown GCM3 to rectify seawater leak at filter maintenance drain valve module 7 (install blind). New valve already onboard - awaiting window to install.,2020-05-14
W-C-07L,Manually shut in wells in view of unit train PSD due to LAHH-5081A triggered. Level high is not genuine. Found transmitter faulty. Replaced transmitter and resume production.,2020-05-26
W-C-07L,"Manually shutdown GCM3 to close high GLOC finding (replaced 2"" 600# ball valve bypass line suction V-2480) ",2020-06-06
W-C-07L,"Dulang experienced power failure due to both TG630 and TG632 tripped on low fuel gas pressure. Upon investigation, found the low fuel gas pressure is cascaded impact from LALL-5851 triggered. LALL-5851 triggered due to faulty reading LT5851 which caused by clogged LT-5851 bridles. Heat tracing was found not functioning because of trip due to cable shorted at the terminal block. Heat tracing at each bridle of LT-5851 was reinstated.",2020-06-09
W-C-07L,Well quit. Kick off and resume flowing,2020-06-12
W-C-07L,Well quit. Kick off and resume flowing,2020-06-13
W-C-07L,Well quit. Kick off and resume flowing,2020-06-14
W-C-07L,Well quit. Kick off and resume flowing,2020-06-15
W-C-07L,Well quit. Kick off and resume flowing,2020-06-16
W-C-07L,"DLC experienced process shutdown due to PSHH-1130 triggered in view of sudden pressure from venting activity during depressurization of receiver barrel. Uncontrolled opening of the globe valve, coupled with no pressure indication at DCS for monitoring, are found to be the root cause.",2020-06-22
W-C-07L,"DLC experienced process shutdown due to PSHH-1130 triggered in view of sudden pressure from venting activity during depressurization of receiver barrel. Uncontrolled opening of the globe valve, coupled with no pressure indication at DCS for monitoring, are found to be the root cause.",2020-06-23
W-C-07L,"GCM3 tripped due LAHH02417A triggered. Found genuine level build-up due to SDV-2415 in close position. Upon investigation, found SDV solenoid faulty. Rectified and platform BOL.",2020-06-25
W-C-07L,Well quit. Kick off and resume flowing,2020-06-30
W-C-07L,"GCM3 tripped on HPC in-surge. Upon investigation, found HPC ASV1 slow response to command. Performed FCV2040 valve check and stroking.",2020-07-13
W-C-07L,"GCM3 tripped on IO module fault. Upon investigation, found data cable was loose. Replugged the terminal and locked the position. BOL GCM3 and resume production.",2020-07-19
W-C-07L,"Manually shut in well after V2480 OOS after found pinhole leak at 2"" condensate line. Affected line wrapped with Belzona and well resume flowing.",2020-07-24
W-C-07L,"Manually shut in well after V2480 OOS after found pinhole leak at 2"" condensate line. Affected line wrapped with Belzona and well resume flowing.",2020-07-25
W-C-07L,"Manually shut in well after V2480 OOS after found pinhole leak at 2"" condensate line. Affected line wrapped with Belzona and well resume flowing.",2020-07-26
W-C-07L,Dulang complex experience power failure due to ESD 1 activated. Further investigation found one of the ESD Break Glass Call Point activated.,2020-08-27
W-C-07L,Dulang complex experience power failure due to ESD 1 activated. Further investigation found one of the ESD Break Glass Call Point activated.,2020-08-30
W-C-07L,"Well quit due to GCM3 tripped on gas fuel temperature low.Found ASV LPC2, FCV2435 actuator diaphragm case was found dislodge from actuator yoke assembly.",2020-09-28
W-C-07L,"Well quit due to GCM3 tripped on gas fuel temperature low.Found ASV LPC2, FCV2435 actuator diaphragm case was found dislodge from actuator yoke assembly.",2020-09-29
W-C-07L,"Well quit due to GCM3 tripped on gas fuel temperature low.Found ASV LPC2, FCV2435 actuator diaphragm case was found dislodge from actuator yoke assembly.",2020-09-30
W-C-07L,"Well quit caused by GCM3 manually SD due to ASV LPC2, FCV2435 actuator diaphragm case was found dislodge from actuator yoke assembly.",2020-10-01
W-C-07L,"DLC experienced shutdown due to ""ESD activated at DLB"" signal. Upon investigation, signal is not genuine. Suspected communication loss due to loose termination.",2020-11-02
W-C-07L,"DLC experienced ESD and power failure due to ""RIGFIRE"" alarm. Upon investigation, found JBF-113 cable loose. Cable replaced and all termination at JBF-113 was retightened.",2020-11-17
W-C-07L,"DLC wells tripped due to instrument air pressure low triggered. Upon troubleshooting, found sequence valve for inlet air dryer tower B intermittent open. Rectified and BOL well.",2020-12-26
W-C-07L,SSV trip,2022-09-16
W-C-07L,Found SSV well C-07L trip. Found rupture disc for SSV leak. Replace new rupture disc and flowback thie well.,2022-09-17
W-C-07L,SSV trip,2022-09-16
W-C-07L,Found SSV well C-07L trip. Found rupture disc for SSV leak. Replace new rupture disc and flowback thie well.,2022-09-17
W-C-04S,Well quit,2019-02-15
W-C-04S,Well quit,2019-02-16
W-C-04S,Well quit,2019-02-21
W-C-04S,Well quit,2019-02-22
W-C-04S,Well quit,2019-02-23
W-C-04S,"Found well quit during well test. Increased gaslift flowrate from 25km3 to 30km3, kick off well and resume production",2019-03-01
W-C-04S,Well quit. Increased gas lift from 30km3 to 40km3. Resume flow.,2019-03-02
W-C-04S,Well quit,2019-03-04
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-12
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-13
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-14
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-15
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-16
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-17
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-20
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-21
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-22
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-23
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-24
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-26
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-27
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-28
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-29
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-30
W-C-04S,"GCM3 tripped on HPC NDE XY axis vibration, boroscope finding found erosion at inlet diffuser. Suspect erosion due to newly identified impurities (mercury) coming from wells.",2019-03-31
W-C-04S,Well Quit. Gas lift optimization,2019-09-26
W-C-04S,Well Quit. Gas lift optimization,2019-09-27
W-C-04S,"Well gassing. Shut in, kick off and resume well flowing",2019-11-02
W-C-04S,Well quit,2019-11-03
W-C-04S,"DLC tripped due to short circuit at power supply unit (PSU) causing earth fault alarm in the UPS triggered and tripped, subsequently causing all UPS load to loss power.",2020-01-15
W-C-04S,"DLC tripped due to short circuit at power supply unit (PSU) causing earth fault alarm in the UPS triggered and tripped, subsequently causing all UPS load to loss power.",2020-01-19
W-C-04S,"DLC tripped due to short circuit at power supply unit (PSU) causing earth fault alarm in the UPS triggered and tripped, subsequently causing all UPS load to loss power.",2020-01-20
W-C-04S,"Dulang experienced PSD due to LSIH-5070 triggered. Upon investigation, found actual level at V507 was 36%. Set point for LSIH5070 is 44%. Switch faulty. New spare catalogued and MRF was placed.",2020-01-24
W-C-04S,Shut in well for ESD Test (prolong BOL due to process stabilization),2020-03-31
W-C-04S,GCM3 tripped on LPC discharge pressure H-H during pig retrieval. Discharge pressure caused by high suction pressure. (cascading impact from PIG stuck),2020-04-21
W-C-04S,GCM3 tripped due to FG to GCM3 temperature low caused by HX6061 controller/PLC problem.,2020-04-30
W-C-04S,"Dulang experienced power failure due to TG630 and TG632 tripped on control system 24 VDC supply voltage low. Upon further investigation, found breaker malfunction. Breaker replaced and BOL platform.",2020-05-08
W-C-04S,"GCM3 tripped due to TZAHH-2441 triggered as a cascaded impact from P-760 tripped. Upon investigation, it was found that the emergency stop button was accidentally triggered. BOL GCM3 and resume production. To avoid reoccurence, emergency stop cover was installed.",2020-05-12
W-C-04S,Manually shutdown GCM3 to rectify seawater leak at filter maintenance drain valve module 7 (install blind). New valve already onboard - awaiting window to install.,2020-05-14
W-C-04S,Found well quit. Kick off and resume flow.,2020-05-15
W-C-04S,Manually shut in wells in view of unit train PSD due to LAHH-5081A triggered. Level high is not genuine. Found transmitter faulty. Replaced transmitter and resume production.,2020-05-26
W-C-04S,"Dulang experienced power failure due to both TG630 and TG632 tripped on low fuel gas pressure. Upon investigation, found the low fuel gas pressure is cascaded impact from LALL-5851 triggered. LALL-5851 triggered due to faulty reading LT5851 which caused by clogged LT-5851 bridles. Heat tracing was found not functioning because of trip due to cable shorted at the terminal block. Heat tracing at each bridle of LT-5851 was reinstated.",2020-06-09
W-C-04S,"DLC experienced process shutdown due to PSHH-1130 triggered in view of sudden pressure from venting activity during depressurization of receiver barrel. Uncontrolled opening of the globe valve, coupled with no pressure indication at DCS for monitoring, are found to be the root cause.",2020-06-22
W-C-04S,"GCM3 tripped due LAHH02417A triggered. Found genuine level build-up due to SDV-2415 in close position. Upon investigation, found SDV solenoid faulty. Rectified and platform BOL.",2020-06-25
W-C-04S,"GCM3 tripped due LAHH02417A triggered. Found genuine level build-up due to SDV-2415 in close position. Upon investigation, found SDV solenoid faulty. Rectified and platform BOL.",2020-06-26
W-C-04S,Well quit. Kick off and resume flowing.,2020-07-04
W-C-04S,Well quit. Kick off and resume flowing.,2020-07-05
W-C-04S,"GCM3 tripped on LPC suction header gas pressure high. Not genuine. Upon investigation, found switch faulty.",2020-07-09
W-C-04S,"GCM3 tripped on HPC in-surge. Upon investigation, found HPC ASV1 slow response to command. Performed FCV2040 valve check and stroking.",2020-07-13
W-C-04S,"GCM3 tripped on IO module fault. Upon investigation, found data cable was loose. Replugged the terminal and locked the position. BOL GCM3 and resume production.",2020-07-19
W-C-04S,"Manually shut in well after V2480 OOS after found pinhole leak at 2"" condensate line. Affected line wrapped with Belzona and well resume flowing.",2020-07-24
W-C-04S,"Manually shut in well after V2480 OOS after found pinhole leak at 2"" condensate line. Affected line wrapped with Belzona and well resume flowing.",2020-07-25
W-C-04S,"Manually shut in well after V2480 OOS after found pinhole leak at 2"" condensate line. Affected line wrapped with Belzona and well resume flowing.",2020-07-26
W-C-04S,Shut in well due to Wing valve found pin hole leak,2020-08-17
W-C-04S,Shut in well due to Wing valve found pin hole leak,2020-08-18
W-C-04S,Shut in well due to Wing valve found pin hole leak,2020-08-19
W-C-04S,Shut in well due to Wing valve found pin hole leak,2020-08-20
W-C-04S,Shut in well due to Wing valve found pin hole leak,2020-08-21
W-C-04S,Shut in well due to Wing valve found pin hole leak,2020-08-22
W-C-04S,Shut in well due to Wing valve found pin hole leak,2020-08-23
W-C-04S,Shut in well due to Wing valve found pin hole leak,2020-08-24
W-C-04S,Shut in well due to Wing valve found pin hole leak,2020-08-25
W-C-04S,Shut in well due to Wing valve found pin hole leak,2020-08-26
W-C-04S,Dulang complex experience power failure due to ESD 1 activated. Further investigation found one of the ESD Break Glass Call Point activated.,2020-08-27
W-C-04S,Dulang complex experience power failure due to ESD 1 activated. Further investigation found one of the ESD Break Glass Call Point activated.,2020-08-30
W-C-04S,Dulang complex experience power failure due to ESD 1 activated. Further investigation found one of the ESD Break Glass Call Point activated.,2020-08-31
W-C-04S,"Well quit due to GCM3 tripped on gas fuel temperature low.Found ASV LPC2, FCV2435 actuator diaphragm case was found dislodge from actuator yoke assembly.",2020-09-28
W-C-04S,"Well quit due to GCM3 tripped on gas fuel temperature low.Found ASV LPC2, FCV2435 actuator diaphragm case was found dislodge from actuator yoke assembly.",2020-09-29
W-C-04S,"Well quit due to GCM3 tripped on gas fuel temperature low.Found ASV LPC2, FCV2435 actuator diaphragm case was found dislodge from actuator yoke assembly.",2020-09-30
W-C-04S,"Well quit caused by GCM3 manually SD due to ASV LPC2, FCV2435 actuator diaphragm case was found dislodge from actuator yoke assembly.",2020-10-01
W-C-04S,"DLC experienced shutdown due to ""ESD activated at DLB"" signal. Upon investigation, signal is not genuine. Suspected communication loss due to loose termination.",2020-11-02
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-08
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-09
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-10
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-11
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-12
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-13
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-14
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-15
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-16
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-17
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-18
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-19
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-20
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-21
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-22
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-23
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-24
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-25
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-26
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-27
W-C-04S,Shut in well due to suspected causing backpressure to MOL,2020-11-28
W-C-04S,"DLC wells tripped due to instrument air pressure low triggered. Upon troubleshooting, found sequence valve for inlet air dryer tower B intermittent open. Rectified and BOL well.",2020-12-26
W-C-04S,Well quit.Kick off due to temp drop,2022-01-08
W-C-04S,"Well quit ,Kick off C-04L after found temp low.",2022-01-06
W-C-04S,Well Quit,2022-04-07
W-C-04S,Well Quit,2022-04-08
W-C-04S,Well Quit,2022-04-09
W-C-04S,Well Quit,2022-04-10
W-C-04S,Well Quit,2022-04-11
W-C-04S,Well Quit,2022-04-12
W-C-04S,Well quit,2022-09-09
W-C-04S,Well quit,2022-09-10
W-C-04S,Well quit,2022-09-21
W-C-04S,Well quit,2022-09-22
W-C-04S,Well quit,2022-10-02
W-C-04S,Well Quit,2022-05-11
W-C-04S,Well Quit,2022-11-26
W-C-04S,Well quit,2022-09-09
W-C-04S,Well quit,2022-09-10
W-C-04S,Well quit,2022-09-21
W-C-04S,Well quit,2022-09-22
W-C-04S,Well quit,2022-10-02
W-C-04S,Well Quit,2022-05-11
W-C-04S,Well Quit,2022-11-26
W-C-18S,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],2019-02-02
W-C-18S,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],2019-02-14
W-C-18S,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],2019-02-15
W-C-18S,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],2019-02-16
W-C-18S,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],2019-02-17
W-C-18S,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],2019-02-18
W-C-18S,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],2019-02-19
W-C-18S,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],2019-02-20
