PLATFORM,WELL ORI,WELL,POTENTIAL (bbl/d),OPNS DATE,DOWNTIME,DESCRIPTION,CPL CODE,TYPE CODE,CAT CODE,PRIM CODE,SEC CODE,START DATE,END DATE,,,
Dulang,DULG-D015-LS,W-D-15L,509.96,8-Aug-19,24,SSV actuator leak,I,U,W,B,X,8-Aug-19,8-Aug-19,W-D-11S,W-C-19S02S,W-A-15S
Dulang,DULG-D015-LS,W-D-15L,509.96,9-Aug-19,24,SSV actuator leak,I,U,W,B,X,9-Aug-19,9-Aug-19,W-D-16L,W-B-17S03S,W-A-17S
Dulang,DULG-D015-LS,W-D-15L,509.96,10-Aug-19,24,SSV actuator leak,I,U,W,B,X,10-Aug-19,10-Aug-19,W-B-11S,W-B-28S02S,W-A-19
Dulang,DULG-D015-LS,W-D-15L,509.96,11-Aug-19,24,SSV actuator leak,I,U,W,B,X,11-Aug-19,11-Aug-19,W-B-21L,W-B-32S01L,W-A-23S
Dulang,DULG-D015-LS,W-D-15L,509.96,12-Aug-19,24,SSV actuator leak,I,U,W,B,X,12-Aug-19,12-Aug-19,W-C-13,W-B-32S01S,W-A-27L
Dulang,DULG-D015-LS,W-D-15L,509.96,13-Aug-19,24,SSV actuator leak,I,U,W,B,X,13-Aug-19,13-Aug-19,W-C-18L,W-D-21S01,W-A-27S
Dulang,DULG-D015-LS,W-D-15L,509.96,14-Aug-19,24,SSV actuator leak,I,U,W,B,X,14-Aug-19,14-Aug-19,W-C-27S,W-D-26S01S,W-A-28S
Dulang,DULG-D015-LS,W-D-15L,509.96,15-Aug-19,24,SSV actuator leak,I,U,W,B,X,15-Aug-19,15-Aug-19,W-D-04L,W-D-13S01,W-B-01L
Dulang,DULG-D015-LS,W-D-15L,509.96,16-Aug-19,24,SSV actuator leak,I,U,W,B,X,16-Aug-19,16-Aug-19,W-D-21S,W-B-17S03L,W-B-01S
Dulang,DULG-C004S01-LS,W-C-04S,123,15-Feb-19,24,Well quit,I,U,W,C,P,15-Feb-19,15-Feb-19,W-D-27,W-D-20H01,W-B-04S
Dulang,DULG-C004S01-LS,W-C-04S,123,16-Feb-19,24,Well quit,I,U,W,C,P,16-Feb-19,16-Feb-19,W-D-29,W-D-19H01L,W-B-05S
Dulang,DULG-C004S01-LS,W-C-04S,123,21-Feb-19,16,Well quit,I,U,W,C,P,21-Feb-19,21-Feb-19,W-D-32S,W-D-07S01L,W-B-07L
Dulang,DULG-C004S01-LS,W-C-04S,123,22-Feb-19,2,Well quit,I,U,W,C,P,22-Feb-19,22-Feb-19,W-C-01L,W-D-12S01,W-B-07S
Dulang,DULG-C004S01-LS,W-C-04S,123,23-Feb-19,1,Well quit,I,U,W,C,P,23-Feb-19,23-Feb-19,W-D-02S,W-A-08S01,W-B-09S
Dulang,DULG-C007-LS,W-C-07L,83.91,1-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,1-Feb-19,1-Feb-19,W-D-12S,W-A-15S20,W-B-11S
Dulang,DULG-C007-LS,W-C-07L,83.91,2-Feb-19,13,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,2-Feb-19,2-Feb-19,W-D-26S,W-B-24S02,W-B-14L
Dulang,DULG-C007-LS,W-C-07L,83.91,4-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,4-Feb-19,4-Feb-19,W-A-07,W-A-11S02,W-B-14S
Dulang,DULG-C007-LS,W-C-07L,83.91,5-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,5-Feb-19,5-Feb-19,W-A-10S,,W-B-17S
Dulang,DULG-C007-LS,W-C-07L,83.91,6-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,6-Feb-19,6-Feb-19,W-A-12S,,W-B-18L
Dulang,DULG-C007-LS,W-C-07L,83.91,7-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,7-Feb-19,7-Feb-19,W-A-27L,,W-B-18S
Dulang,DULG-C007-LS,W-C-07L,83.91,8-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,8-Feb-19,8-Feb-19,W-A-28S,,W-B-19S
Dulang,DULG-C007-LS,W-C-07L,83.91,9-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,9-Feb-19,9-Feb-19,W-B-14S,,W-B-20S
Dulang,DULG-C007-LS,W-C-07L,83.91,10-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,10-Feb-19,10-Feb-19,W-B-18S,,W-B-21L
Dulang,DULG-C007-LS,W-C-07L,83.91,11-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,11-Feb-19,11-Feb-19,W-B-20S,,W-B-22L
Dulang,DULG-C007-LS,W-C-07L,83.91,12-Feb-19,14,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,12-Feb-19,12-Feb-19,W-B-22L,,W-B-22S
Dulang,DULG-C007-LS,W-C-07L,83.91,13-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,13-Feb-19,13-Feb-19,W-B-24S,,W-B-24S
Dulang,DULG-C007-LS,W-C-07L,83.91,15-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,15-Feb-19,15-Feb-19,W-C-03S,,W-B-28S
Dulang,DULG-C007-LS,W-C-07L,83.91,16-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,16-Feb-19,16-Feb-19,W-C-06S,,W-B-32S
Dulang,DULG-C007-LS,W-C-07L,83.91,17-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,17-Feb-19,17-Feb-19,W-C-07S,,W-C-01L
Dulang,DULG-C007-LS,W-C-07L,83.91,18-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,18-Feb-19,18-Feb-19,W-C-09L,,W-C-01S
Dulang,DULG-C007-LS,W-C-07L,83.91,19-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,19-Feb-19,19-Feb-19,W-C-09S,,W-C-03S
Dulang,DULG-C007-LS,W-C-07L,83.91,20-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,20-Feb-19,20-Feb-19,W-C-22S,,W-C-04S
Dulang,DULG-C007-LS,W-C-07L,83.91,21-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,21-Feb-19,21-Feb-19,W-C-25,,W-C-06S
Dulang,DULG-C007-LS,W-C-07L,83.91,22-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,22-Feb-19,22-Feb-19,W-C-29,,W-C-07L
Dulang,DULG-C007-LS,W-C-07L,83.91,23-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,23-Feb-19,23-Feb-19,W-D-13S,,W-C-07S
Dulang,DULG-C007-LS,W-C-07L,83.91,24-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,24-Feb-19,24-Feb-19,W-D-15S,,W-C-09L
Dulang,DULG-C007-LS,W-C-07L,83.91,26-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,26-Feb-19,26-Feb-19,W-B-05S,,W-C-09S
Dulang,DULG-C007-LS,W-C-07L,83.91,28-Feb-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,28-Feb-19,28-Feb-19,W-B-28S,,W-C-13
Dulang,DULG-C018-SS,W-C-18S,71.51,2-Feb-19,2,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,2-Feb-19,2-Feb-19,W-D-07S,,W-C-15S
Dulang,DULG-C018-SS,W-C-18S,71.51,14-Feb-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,14-Feb-19,14-Feb-19,W-B-17S,,W-C-18L
Dulang,DULG-C018-SS,W-C-18S,71.51,15-Feb-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,15-Feb-19,15-Feb-19,W-B-32S,,W-C-18S
Dulang,DULG-C018-SS,W-C-18S,71.51,16-Feb-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,16-Feb-19,16-Feb-19,W-C-20S,,W-C-19S
Dulang,DULG-C018-SS,W-C-18S,71.51,17-Feb-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,17-Feb-19,17-Feb-19,W-A-01,,W-C-20S
Dulang,DULG-C018-SS,W-C-18S,71.51,18-Feb-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,18-Feb-19,18-Feb-19,W-A-27S,,W-C-22S
Dulang,DULG-C018-SS,W-C-18S,71.51,19-Feb-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,19-Feb-19,19-Feb-19,W-B-07L,,W-C-25
Dulang,DULG-C018-SS,W-C-18S,71.51,20-Feb-19,14,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,20-Feb-19,20-Feb-19,W-D-31,,W-C-27L
Dulang,DULG-C018-SS,W-C-18S,71.51,21-Feb-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,21-Feb-19,21-Feb-19,W-D-32L,,W-C-27S
Dulang,DULG-C018-SS,W-C-18S,71.51,22-Feb-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,22-Feb-19,22-Feb-19,W-A-08S,,W-C-29
Dulang,DULG-C018-SS,W-C-18S,71.51,23-Feb-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,23-Feb-19,23-Feb-19,W-A-15S,,W-D-02S
Dulang,DULG-C018-SS,W-C-18S,71.51,24-Feb-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,24-Feb-19,24-Feb-19,W-B-01L,,W-D-04L
Dulang,DULG-D015-LS,W-D-15L,509.96,17-Aug-19,24,SSV actuator leak,I,U,W,B,X,17-Aug-19,17-Aug-19,W-C-15S,,W-D-06L
Dulang,DULG-C027-LS,W-C-27L,106.79,4-Feb-19,10,Well quit suspected due to insufficient gas lift header pressure (7900kPa vs 8700kPa),I,U,W,C,N,4-Feb-19,4-Feb-19,W-A-05,,W-D-06S
Dulang,DULG-C001-SS,W-C-01S,385.21,7-Feb-19,24,Shut in well due to leak found at tubing hanger ring gasket,I,U,W,B,S,7-Feb-19,7-Feb-19,W-B-14L,,W-D-07S
Dulang,DULG-D006-LS,W-D-06L,232.65,18-Feb-19,6,"Intermittent flow, well unable to flow if gas lift pressure low",I,U,W,C,P,18-Feb-19,18-Feb-19,W-B-22S,,W-D-11S
Dulang,DULG-D006-LS,W-D-06L,232.65,19-Feb-19,10,"Intermittent flow, well unable to flow if gas lift pressure low",I,U,W,C,P,19-Feb-19,19-Feb-19,W-D-19,,W-D-12S
Dulang,DULG-D006-LS,W-D-06L,232.65,20-Feb-19,7,"Intermittent flow, well unable to flow if gas lift pressure low",I,U,W,C,P,20-Feb-19,20-Feb-19,W-B-19S,,W-D-13S
Dulang,DULG-D006-LS,W-D-06L,232.65,21-Feb-19,17,"Intermittent flow, well unable to flow if gas lift pressure low",I,U,W,C,P,21-Feb-19,21-Feb-19,W-D-20H,,W-D-15L
Dulang,DULG-D006-LS,W-D-06L,232.65,22-Feb-19,16,"Intermittent flow, well unable to flow if gas lift pressure low",I,U,W,C,P,22-Feb-19,22-Feb-19,W-A-15L,,W-D-15S
Dulang,DULG-D006-LS,W-D-06L,232.65,23-Feb-19,5,"Intermittent flow, well unable to flow if gas lift pressure low",I,U,W,C,P,23-Feb-19,23-Feb-19,W-A-19,,W-D-16L
Dulang,DULG-D006-SS,W-D-06S,196.42,19-Feb-19,2,Intermittent flow when D06L,I,U,W,C,N,19-Feb-19,19-Feb-19,W-B-09S,,W-D-16S
Dulang,DULG-D006-SS,W-D-06S,196.42,21-Feb-19,1,Intermittent flow when D06L,I,U,W,C,N,21-Feb-19,21-Feb-19,W-B-18L,,W-D-19
Dulang,DULG-D006-SS,W-D-06S,196.42,22-Feb-19,1,Intermittent flow when D06L,I,U,W,C,N,22-Feb-19,22-Feb-19,W-D-16S,,W-D-20H
Dulang,DULG-D006-SS,W-D-06S,196.42,23-Feb-19,1,Intermittent flow when D06L,I,U,W,C,N,23-Feb-19,23-Feb-19,W-A-11S,,W-D-21S
Dulang,DULG-D011-SS,W-D-11S,122.05,8-Feb-19,1,Well quit - gas lift optimisation ,I,U,W,C,M,8-Feb-19,8-Feb-19,W-C-19S,,W-D-26S
Dulang,DULG-D011-SS,W-D-11S,122.05,9-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,9-Feb-19,9-Feb-19,W-B-07S,,W-D-27
Dulang,DULG-D011-SS,W-D-11S,122.05,10-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,10-Feb-19,10-Feb-19,W-A-17S,,W-D-29
Dulang,DULG-D011-SS,W-D-11S,122.05,11-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,11-Feb-19,11-Feb-19,W-A-23S,,W-D-31
Dulang,DULG-D011-SS,W-D-11S,122.05,12-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,12-Feb-19,12-Feb-19,W-A-06,,W-D-32L
Dulang,DULG-D011-SS,W-D-11S,122.05,13-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,13-Feb-19,13-Feb-19,W-A-04S,,W-D-32S
Dulang,DULG-D011-SS,W-D-11S,122.05,14-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,14-Feb-19,14-Feb-19,,,W-D-32S
Dulang,DULG-D011-SS,W-D-11S,122.05,15-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,15-Feb-19,15-Feb-19,,,
Dulang,DULG-D011-SS,W-D-11S,122.05,16-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,16-Feb-19,16-Feb-19,,,
Dulang,DULG-D011-SS,W-D-11S,122.05,17-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,17-Feb-19,17-Feb-19,,,
Dulang,DULG-D011-SS,W-D-11S,122.05,18-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,18-Feb-19,18-Feb-19,,,
Dulang,DULG-D011-SS,W-D-11S,122.05,19-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,19-Feb-19,19-Feb-19,,,
Dulang,DULG-D011-SS,W-D-11S,122.05,20-Feb-19,24,Well quit - gas lift optimisation keep trying to flow,I,U,W,C,M,20-Feb-19,20-Feb-19,,,
Dulang,DULG-D016-LS,W-D-16L,448.14,2-Feb-19,2,Well quit ,I,U,W,C,P,2-Feb-19,2-Feb-19,,,
Dulang,DULG-C001-SS,W-C-01S,385.21,8-Feb-19,24,Shut in well due to leak found at tubing hanger ring gasket,I,U,W,B,S,8-Feb-19,8-Feb-19,,,
Dulang,DULG-C001-SS,W-C-01S,385.21,9-Feb-19,24,Shut in well due to leak found at tubing hanger ring gasket,I,U,W,B,S,9-Feb-19,9-Feb-19,,,
Dulang,DULG-C001-SS,W-C-01S,385.21,10-Feb-19,24,Shut in well due to leak found at tubing hanger ring gasket,I,U,W,B,S,10-Feb-19,10-Feb-19,,,
Dulang,DULG-C001-SS,W-C-01S,385.21,11-Feb-19,24,Shut in well due to leak found at tubing hanger ring gasket,I,U,W,B,S,11-Feb-19,11-Feb-19,,,
Dulang,DULG-B011-SS,W-B-11S,269.81,3-Jan-19,4,Well quit dt gas lift rate unstable ,I,U,W,C,P,3-Jan-19,3-Jan-19,,,
Dulang,DULG-B021-LS,W-B-21L,112.92,5-Jan-19,11,Well quit-kick off-gassing,I,U,W,C,P,5-Jan-19,5-Jan-19,,,
Dulang,DULG-C001-SS,W-C-01S,385.21,12-Feb-19,24,Shut in well due to leak found at tubing hanger ring gasket,I,U,W,B,S,12-Feb-19,12-Feb-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,1-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,1-Jan-19,1-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,2-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,2-Jan-19,2-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,3-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,3-Jan-19,3-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,4-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,4-Jan-19,4-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,5-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,5-Jan-19,5-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,6-Jan-19,14,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,6-Jan-19,6-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,9-Jan-19,14,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,9-Jan-19,9-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,10-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,10-Jan-19,10-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,11-Jan-19,6,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,11-Jan-19,11-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,12-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,12-Jan-19,12-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,13-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,13-Jan-19,13-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,14-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,14-Jan-19,14-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,15-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,15-Jan-19,15-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,16-Jan-19,9,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,16-Jan-19,16-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,17-Jan-19,21,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,17-Jan-19,17-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,18-Jan-19,14,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,18-Jan-19,18-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,19-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,19-Jan-19,19-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,20-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,20-Jan-19,20-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,22-Jan-19,6,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,22-Jan-19,22-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,23-Jan-19,6,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,23-Jan-19,23-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,24-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,24-Jan-19,24-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,25-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,25-Jan-19,25-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,26-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,26-Jan-19,26-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,27-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,27-Jan-19,27-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,28-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,28-Jan-19,28-Jan-19,,,
Dulang,DULG-C007-LS,W-C-07L,84.2,29-Jan-19,12,Well flowing intermittently - erratic flowline temperature trend suspected due to lifting inefficiency [C07L],I,U,W,C,I,29-Jan-19,29-Jan-19,,,
Dulang,DULG-C013-TS,W-C-13,165.52,6-Jan-19,4,Well quit suspected due to fluctuating gas lift injection rate,I,U,W,C,P,6-Jan-19,6-Jan-19,,,
Dulang,DULG-C013-TS,W-C-13,165.52,15-Jan-19,3,Well quit,I,U,W,C,P,15-Jan-19,15-Jan-19,,,
Dulang,DULG-C018-LS,W-C-18L,66.97,1-Jan-19,12,C18L flowing intermittently – erratic temperature trend. Well was recently activated [C18L],I,U,W,C,N,1-Jan-19,1-Jan-19,,,
Dulang,DULG-C018-LS,W-C-18L,66.97,2-Jan-19,12,C18L flowing intermittently – erratic temperature trend. Well was recently activated [C18L],I,U,W,C,N,2-Jan-19,2-Jan-19,,,
Dulang,DULG-C018-LS,W-C-18L,66.97,4-Jan-19,12,C18L flowing intermittently – erratic temperature trend. Well was recently activated [C18L],I,U,W,C,N,4-Jan-19,4-Jan-19,,,
Dulang,DULG-C018-LS,W-C-18L,66.97,5-Jan-19,3,C18L flowing intermittently – erratic temperature trend. Well was recently activated [C18L],I,U,W,C,N,5-Jan-19,5-Jan-19,,,
Dulang,DULG-C018-LS,W-C-18L,66.97,9-Jan-19,12,C18L flowing intermittently – erratic temperature trend. Well was recently activated [C18L],I,U,W,C,N,9-Jan-19,9-Jan-19,,,
Dulang,DULG-C018-LS,W-C-18L,66.97,10-Jan-19,2,C18L flowing intermittently – erratic temperature trend. Well was recently activated [C18L],I,U,W,C,N,10-Jan-19,10-Jan-19,,,
Dulang,DULG-C018-LS,W-C-18L,66.97,22-Jan-19,4,Shut in C18L to troubleshoot C18S (C18S flowing intermittently),I,U,W,C,N,22-Jan-19,22-Jan-19,,,
Dulang,DULG-C018-LS,W-C-18L,66.97,23-Jan-19,4,Shut in C18L to troubleshoot C18S (C18S flowing intermittently),I,U,W,C,N,23-Jan-19,23-Jan-19,,,
Dulang,DULG-C018-LS,W-C-18L,66.97,24-Jan-19,2,Shut in C18L to troubleshoot C18S (C18S flowing intermittently),I,U,W,C,N,24-Jan-19,24-Jan-19,,,
Dulang,DULG-C018-LS,W-C-18L,66.97,25-Jan-19,1,Shut in C18L to troubleshoot C18S (C18S flowing intermittently),I,U,W,C,N,25-Jan-19,25-Jan-19,,,
Dulang,DULG-C018-SS,W-C-18S,147.34,1-Jan-19,12,C18S flowing intermittently – erratic temperature trend. Well was previously flowing as single string (C18L idle). C18S start unstable flow post flowing C18L [C18S],I,U,W,C,N,1-Jan-19,1-Jan-19,,,
